name,prompt,negative_prompt
-------< Utility >-------,,
♀ Mare Meta Tags,"pony, mare, female, solo",
♂ Stallion Meta Tags,"pony, stallion, male, solo",
🎎 EqG Meta Tags,"equestria girls, female, solo",
🫥 OC Meta Tags,"oc, oc only",
🚫 Anthro,,"anthro, semi-anthro"
------< Modifiers >------,,
✨❺ Enhancer,"detailed, beautiful, sweet dreams fuel",
✨⑥ Enhancer,"detailed, beautiful",
📸 IRL (generic),"photo, irl, realistic",
🎨 Limited Palette,"limited palette, silhouette",
😽 Cutifier,"cute, hnnng, daaaaaaaaaaaw, weapons-grade cute",
🦁 Fluffifier,"(fluffy:0.8), chest (fluff:0.7), ear (fluff:0.7), cheek (fluff:0.7), fur",
